RelayNumber,DUT_ID,DeviceSlot,DeviceName,Enabled,SignalName,PhysicalChannel,ChannelType,Topology,PinNumber
56,4,17,2520PXI2Slot17,0,Relay7,k55,Relay_Output,2520/80-SPST,D12
57,4,17,2520PXI2Slot17,0,Relay8,k56,Relay_Output,2520/80-SPST,D13
58,4,17,2520PXI2Slot17,0,Relay9,k57,Relay_Output,2520/80-SPST,D14
59,4,17,2520PXI2Slot17,0,Relay10,k58,Relay_Output,2520/80-SPST,D15
60,4,17,2520PXI2Slot17,0,Relay11,k59,Relay_Output,2520/80-SPST,D16
61,4,17,2520PXI2Slot17,0,Relay12,k60,Relay_Output,2520/80-SPST,D17
62,4,17,2520PXI2Slot17,0,Relay13,k61,Relay_Output,2520/80-SPST,E1
63,4,17,2520PXI2Slot17,0,Relay14,k62,Relay_Output,2520/80-SPST,E2
64,4,17,2520PXI2Slot17,0,Relay15,k63,Relay_Output,2520/80-SPST,E3
65,5,17,2520PXI2Slot17,1,T30,k64,Relay_Output,2520/80-SPST,D5
66,5,17,2520PXI2Slot17,0,Relay1,k65,Relay_Output,2520/80-SPST,D6
67,5,17,2520PXI2Slot17,0,Relay2,k66,Relay_Output,2520/80-SPST,D7
68,5,17,2520PXI2Slot17,0,Relay3,k67,Relay_Output,2520/80-SPST,D8
69,5,17,2520PXI2Slot17,0,Relay4,k68,Relay_Output,2520/80-SPST,D9
70,5,17,2520PXI2Slot17,0,Relay5,k69,Relay_Output,2520/80-SPST,D10
71,5,17,2520PXI2Slot17,0,Relay6,k70,Relay_Output,2520/80-SPST,D11
72,5,17,2520PXI2Slot17,0,Relay7,k71,Relay_Output,2520/80-SPST,D12
73,5,17,2520PXI2Slot17,0,Relay8,k72,Relay_Output,2520/80-SPST,D13
74,5,17,2520PXI2Slot17,0,Relay9,k73,Relay_Output,2520/80-SPST,D14
75,5,17,2520PXI2Slot17,0,Relay10,k74,Relay_Output,2520/80-SPST,D15
76,5,17,2520PXI2Slot17,0,Relay11,k75,Relay_Output,2520/80-SPST,D16
77,5,17,2520PXI2Slot17,0,Relay12,k76,Relay_Output,2520/80-SPST,D17
78,5,17,2520PXI2Slot17,0,Relay13,k77,Relay_Output,2520/80-SPST,E1
79,5,17,2520PXI2Slot17,0,Relay14,k78,Relay_Output,2520/80-SPST,E2
80,5,17,2520PXI2Slot17,0,Relay15,k79,Relay_Output,2520/80-SPST,E3
81,6,17,6514PXI2Slot9,1,T30,6514-PXI2Slot9/port4/line0,Digital_Output,2520/80-SPST,D5
82,6,17,6514PXI2Slot9,0,Relay1,6514-PXI2Slot9/port4/line1,Digital_Output,2520/80-SPST,D6
83,6,17,6514PXI2Slot9,0,Relay2,6514-PXI2Slot9/port4/line2,Digital_Output,2520/80-SPST,D7
84,6,17,6514PXI2Slot9,0,Relay3,6514-PXI2Slot9/port4/line3,Digital_Output,2520/80-SPST,D8
85,6,17,6514PXI2Slot9,0,Relay4,6514-PXI2Slot9/port4/line4,Digital_Output,2520/80-SPST,D9
86,6,17,6514PXI2Slot9,0,Relay5,6514-PXI2Slot9/port4/line5,Digital_Output,2520/80-SPST,D10
87,6,17,6514PXI2Slot9,0,Relay6,6514-PXI2Slot9/port4/line6,Digital_Output,2520/80-SPST,D11
88,6,17,6514PXI2Slot9,0,Relay7,6514-PXI2Slot9/port4/line7,Digital_Output,2520/80-SPST,D12
89,6,17,6514PXI2Slot9,0,Relay8,6514-PXI2Slot9/port5/line0,Digital_Output,2520/80-SPST,D13
90,6,17,6514PXI2Slot9,0,Relay9,6514-PXI2Slot9/port5/line1,Digital_Output,2520/80-SPST,D14
91,6,17,6514PXI2Slot9,0,Relay10,6514-PXI2Slot9/port5/line2,Digital_Output,2520/80-SPST,D15
92,6,17,6514PXI2Slot9,0,Relay11,6514-PXI2Slot9/port5/line3,Digital_Output,2520/80-SPST,D16
93,6,17,6514PXI2Slot9,0,Relay12,6514-PXI2Slot9/port5/line4,Digital_Output,2520/80-SPST,D17
94,6,17,6514PXI2Slot9,0,Relay13,6514-PXI2Slot9/port5/line5,Digital_Output,2520/80-SPST,E1
95,100,17,6514PXI2Slot9,1,PDU Instrument Power,6514-PXI2Slot9/port5/line6,Digital_Output,2520/80-SPST,E2
96,100,17,6514PXI2Slot9,1,PDU PowerSupply Power,6514-PXI2Slot9/port5/line7,Digital_Output,2520/80-SPST,E3
97,1,17,6514PXI2Slot9,1,48V Postive,6514-PXI2Slot9/port6/line0,Digital_Output,2520/80-SPST,A1
98,1,17,6514PXI2Slot9,1,48V Negative,6514-PXI2Slot9/port6/line1,Digital_Output,2520/80-SPST,A2
99,2,17,6514PXI2Slot9,1,48V Postive,6514-PXI2Slot9/port6/line2,Digital_Output,2520/80-SPST,A3
100,2,17,6514PXI2Slot9,1,48V Negative,6514-PXI2Slot9/port6/line3,Digital_Output,2520/80-SPST,A4
101,3,17,6514PXI2Slot9,1,48V Postive,6514-PXI2Slot9/port6/line4,Digital_Output,2520/80-SPST,A5
102,3,17,6514PXI2Slot9,1,48V Negative,6514-PXI2Slot9/port6/line5,Digital_Output,2520/80-SPST,A6
103,4,17,6514PXI2Slot9,1,48V Postive,6514-PXI2Slot9/port6/line6,Digital_Output,2520/80-SPST,A7
104,4,17,6514PXI2Slot9,1,48V Negative,6514-PXI2Slot9/port6/line7,Digital_Output,2520/80-SPST,A8
105,5,17,6514PXI2Slot9,1,48V Postive,6514-PXI2Slot9/port7/line0,Digital_Output,2520/80-SPST,A9
106,5,17,6514PXI2Slot9,1,48V Negative,6514-PXI2Slot9/port7/line1,Digital_Output,2520/80-SPST,A10
107,6,17,6514PXI2Slot9,1,48V Postive,6514-PXI2Slot9/port7/line2,Digital_Output,2520/80-SPST,A11
108,6,17,6514PXI2Slot9,1,48V Negative,6514-PXI2Slot9/port7/line3,Digital_Output,2520/80-SPST,A12
109,100,17,6514PXI2Slot9,1,TL Green,6514-PXI2Slot9/port7/line4,Digital_Output,2520/80-SPST,
110,100,17,6514PXI2Slot9,1,TL Red,6514-PXI2Slot9/port7/line5,Digital_Output,2520/80-SPST,
111,100,17,6514PXI2Slot9,1,TL Yellow,6514-PXI2Slot9/port7/line6,Digital_Output,2520/80-SPST,
112,100,17,6514PXI2Slot9,1,TL Buzzer,6514-PXI2Slot9/port7/line7,Digital_Output,2520/80-SPST,
